by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5
jakobov,32163671,2,2022-07-20 10:20:52 UTC,Show HN: AI Safety Cheatsheet,https://github.com/Jakobovski/ai-safety-cheatsheet,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orhanerday,32346089,1,2022-08-04 17:53:58 UTC,"This Go package fully generated by AI's(Copilot, OpenAI and DALL·E)",https://github.com/utfd/slack-alerts,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RafelMri,32458048,283,2022-08-14 10:16:34 UTC,Paradigms of Artificial Intelligence Programming (1992),https://github.com/norvig/paip-lisp,344,47,33,33,29,29,0,0,0,0,0,0,2,0,1,0,0,1,11,5,5,10,2,2,2,0,1,0,0,1
pjfin123,32461511,2,2022-08-14 18:15:39 UTC,Argos AI Adventure – A text based adventure game written with GitHub Copilot,https://github.com/argosopentech/argos-ai-adventure,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
jxireal,32469173,1,2022-08-15 13:07:45 UTC,MultiSeq2seq Transformer Model for NLP,https://github.com/nlptechbook/MultiSeq2seqTransformerNLP,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jarrell_mark,32505123,1,2022-08-18 04:04:53 UTC,Show HN: AI Upscaler for Blender Using Real-ESRGAN,https://github.com/jarrellmark/ai_upscaler_for_blender,8,1,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telotortium,32614821,3,2022-08-27 01:55:37 UTC,Rclip: AI-Powered Command-Line Photo Search Tool Using CLIP,https://github.com/yurijmikhalevich/rclip,41,10,23,5,9,9,0,2,0,0,8,21,0,2,0,0,5,4,2,2,1,0,1,0,0,1,0,0,1,1
thunderbong,32631608,2,2022-08-28 20:08:24 UTC,Jfa-WhatsApp-chatbot: Node.js micro framework for WhatsApp Chatbot,https://github.com/jfadev/jfa-whatsapp-chatbot,5,1,1,0,2,1,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
monort,32668668,1,2022-08-31 21:35:20 UTC,A plug-in for Krita that enables the use of AI models for img2img generation,https://github.com/nousr/koi,279,27,5,6,10,6,66,0,0,0,3,0,20,2,0,1,0,1,25,1,1,1,4,0,6,1,0,1,1,1
napolux,32677605,1,2022-09-01 15:17:52 UTC,Awesome AI image synthesis,https://github.com/altryne/awesome-ai-art-image-synthesis,610,85,37,51,43,71,3,0,0,0,0,0,9,0,0,1,0,0,33,9,5,7,4,8,3,0,0,1,0,0
jakiestfu,32679594,2,2022-09-01 17:10:15 UTC,Stability-Ts: A TypeScript CLI for Running Stable Diffusion Through Stability AI,https://github.com/jakiestfu/stability-ts,40,40,29,5,8,5,9,0,0,0,0,0,3,0,3,0,0,0,5,5,3,2,2,1,2,0,1,0,0,0
walterbell,32697632,12,2022-09-03 01:26:42 UTC,"DeepCamera: Local inference engine, Home Assistant intrusion detection AI camera",https://github.com/SharpAI/DeepCamera,80,47,29,15,23,15,103,9,1,0,1,0,13,5,0,0,0,0,5,10,5,8,1,3,2,3,1,0,1,0
llui85,32701115,10,2022-09-03 12:20:03 UTC,DocQuery: Document Query Engine Powered by Natural Language Processing,https://github.com/impira/docquery,986,132,55,24,43,31,57,1,0,0,0,1,39,0,0,0,1,0,29,11,7,4,8,7,8,1,0,0,1,1
plutar,32715657,8,2022-09-04 17:50:08 UTC,Show HN:Choose Your own adventure game using Openai,https://github.com/JoshCLWren/cya,7,0,0,0,0,1,15,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
jph,32742213,6,2022-09-06 19:40:57 UTC,Show HN: Stable Diffusion image gallery of 300 AI generated pictures,https://github.com/joelparkerhenderson/stable-diffusion-image-gallery,9,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
phsilva,32768572,2,2022-09-08 17:16:59 UTC,An autoregressive character-level language model for making more things,https://github.com/karpathy/makemore,153,106,79,48,119,125,3,0,1,0,0,0,2,0,1,1,2,0,30,24,21,18,48,65,2,0,2,1,1,0
todsacerdoti,32822157,5,2022-09-13 09:25:48 UTC,A command-line tool to create development environments for AI/ML based on build,https://github.com/tensorchord/envd,292,92,130,110,78,44,81,116,80,77,75,43,146,194,130,139,131,91,19,17,15,9,11,1,11,19,16,16,13,12
dgurney,32887739,1,2022-09-18 14:15:04 UTC,Show HN: Make Your Own OpenAI-Powered Chatbot,https://github.com/dgurns/make-your-own-chatbot,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
myth_drannon,32900797,336,2022-09-19 16:50:41 UTC,AI Seamless Texture Generator Built-In to Blender,https://github.com/carson-katri/dream-textures,565,173,1507,513,238,258,104,19,85,73,22,30,54,11,29,21,9,5,33,17,80,30,23,16,3,3,6,6,2,3
stephanst,32912301,3,2022-09-20 14:42:31 UTC,Show HN: I made an AI for drones to land safely,https://github.com/stephansturges/OpenLander,18,9,4,8,2,3,10,6,9,9,0,0,0,0,1,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0
Yousef0M,32955862,2,2022-09-23 19:11:37 UTC,"AI guesses your sketchy drawing ""Inspired by quick draw from Google"".",https://github.com/Yousef0M/BetterThanQuickDraw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blopeur,32964359,2,2022-09-24 16:48:12 UTC,Awful AI,https://github.com/daviddao/awful-ai,95,20,23,54,53,39,0,0,7,0,1,0,0,0,3,0,0,1,2,1,1,1,2,2,0,0,1,0,1,1
importgravity,33082914,1,2022-10-04 16:39:37 UTC,Best Practices on Explainable AI,https://github.com/squaredev-io/explainable-ai,92,35,2,4,4,0,16,0,0,2,1,0,5,0,0,2,2,0,3,0,0,0,2,0,3,0,0,2,2,0
aaronharnly,33114316,1,2022-10-06 21:28:13 UTC,Light-Switch-AI: The world's most needlessly intelligent light switch,https://github.com/Bemmu/Light-Switch-AI,17,5,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
Der_Einzige,33122939,3,2022-10-07 15:48:45 UTC,Show HN: An AI writing assistant and text generation studio,https://github.com/Hellisotherpeople/Constrained-Text-Generation-Studio,25,8,1,2,5,5,5,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,0
georgehill,33128325,2,2022-10-07 23:40:37 UTC,Predicting the Future of AI with AI,https://github.com/artificial-scientist-lab/FutureOfAIviaAI,35,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
freeqaz,33160939,3,2022-10-11 08:56:27 UTC,"Open Source AI to generate code, competitive with OpenAI Codex/GitHub Copilot",https://github.com/salesforce/CodeGen,103,350,113,166,210,471,0,0,1,0,0,0,0,1,0,0,0,0,7,16,11,16,19,30,0,1,1,0,0,0
freediver,33229749,2,2022-10-17 04:11:10 UTC,Betafish: A Chess Engine and AI Move Finder,https://github.com/Strryke/betafish,5,5,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
jmcgough,33241007,2,2022-10-17 23:36:08 UTC,AI-based playthrough of Final Fantasy X,https://github.com/coderwilson/FFX_TAS_Python,4,0,0,0,0,1,210,107,0,0,5,0,144,65,1,1,3,0,0,0,0,0,0,0,5,3,1,1,1,0
thunderbong,33263748,31,2022-10-19 15:37:32 UTC,Text generator: an Obsidian plugin that generates text using GPT-3 (OpenAI),https://github.com/nhaouari/obsidian-textgenerator-plugin,81,91,70,55,215,89,13,19,0,0,23,22,0,2,2,0,4,7,5,5,8,5,18,12,1,2,1,0,2,4
fermip,33269101,4,2022-10-19 23:28:06 UTC,OpenAI Codex English to Python Code Generator,https://github.com/alxschwrz/codex_english2python,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rahimnathwani,33278785,79,2022-10-20 18:33:25 UTC,Buzz: Transcribe audio from your microphones in real-time using OpenAI's Whisper,https://github.com/chidiwilliams/buzz,664,471,321,661,1465,1217,121,187,249,7,26,113,51,87,59,6,14,32,35,26,27,43,115,87,2,3,3,2,2,4
edouard-harris,33324562,1,2022-10-25 00:26:05 UTC,POWERplay: A toolchain to study AI power-seeking,https://github.com/gladstoneai/POWERplay,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
elleven,33334781,3,2022-10-25 19:02:08 UTC,Using OpenAI Codex's “DaVinci-Edit” Model for Gradual Type Inference,https://github.com/GammaTauAI/opentau,1,5,1,1,11,23,51,43,1,25,60,86,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,2,1
ushakov,33362694,2,2022-10-27 19:23:29 UTC,AI Render – Stable Diffusion in Blender,https://github.com/benrugg/AI-Render,129,42,39,35,39,64,33,9,2,0,5,26,17,1,2,0,2,1,9,5,4,3,4,6,3,2,2,0,2,2
carefree0910,33393881,200,2022-10-30 12:32:34 UTC,Show HN: AI magics meet Infinite draw board,https://github.com/carefree0910/carefree-creator,646,44,50,58,52,37,26,21,11,6,7,15,0,0,0,0,0,2,32,6,6,7,8,7,1,1,1,1,1,2
stanislavb,33537554,5,2022-11-09 20:43:33 UTC,A plugin for GPT-3 AI assisted note taking in Logseq,https://github.com/briansunter/logseq-plugin-gpt3-openai,55,62,57,44,106,39,10,5,9,0,14,0,4,3,10,0,10,1,4,6,2,3,9,3,2,3,4,0,3,1
jeadie,33686135,3,2022-11-20 22:27:03 UTC,"Show HN: A simple, terminal game of liar's dice for human, computer and AI",https://github.com/Jeadie/liars-dice,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medv,33703274,48,2022-11-22 08:09:30 UTC,Show HN: Llama – Terminal File Manager,https://github.com/antonmedv/llama,85,36,164,46,28,23,4,3,1,0,2,0,9,2,5,1,3,0,7,2,4,3,4,1,6,4,5,1,4,0
pat-jay,33742214,1,2022-11-25 13:35:23 UTC,A list of online news and info sources in the AI/ML/Data Science space,https://github.com/foorilla/allainews_sources,1,1,0,0,1,3,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
videlov,33743362,2,2022-11-25 15:42:00 UTC,"Show HN: Suspicious – Catching bugs in code with AI, fully local CLI app",https://github.com/sturdy-dev/suspicious,5,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Baihai_IDP,33783452,1,2022-11-29 03:46:56 UTC,A new open-source AI IDE with native support for Python and SQL,https://github.com/BaihaiAI/IDP,3,0,48,27,25,10,0,0,8,12,1,0,0,0,9,1,0,0,1,0,7,3,5,1,0,0,5,3,1,0
tosh,33816253,4,2022-12-01 13:59:09 UTC,ChatGPT's solutions to Advent of Code 2022,https://github.com/ishan0102/aoc-2022-chatgpt,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
golergka,33818306,7,2022-12-01 16:16:30 UTC,Show HN: Solving Advent of Code with ChatGPT,https://github.com/golergka/advent-of-code-2022-with-chat-gpt,35,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0
_pdp_,33828293,7,2022-12-02 08:55:08 UTC,Show HN: I made a Google Chrome extension automatically with ChatGPT,https://github.com/pdparchitect/ChatGPT-Assistant,145,6,8,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,1,0,0,0,0,0
louis030195,33828347,1,2022-12-02 09:05:23 UTC,Show HN: Search engine for conversational AI and large language models,https://github.com/langa-me/cerche,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
louis030195,33828866,1,2022-12-02 10:42:42 UTC,Show HN: Open-source AI-generated conversation card game,https://github.com/another-ai/card-game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_pdp_,33828953,1,2022-12-02 10:57:59 UTC,"Show HN: ChatGPT Pong – A fun game of pong, created by OpenAI",https://github.com/pdparchitect/ChatGPT-Pong,7,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
gigapotential,33838046,2,2022-12-02 22:49:18 UTC,Show HN: Async Rust Library for OpenAI,https://github.com/64bit/async-openai,24,18,17,209,81,58,61,7,5,27,5,1,33,6,6,29,6,4,2,4,3,23,4,7,2,1,3,11,2,2
falleng0d,33846456,45,2022-12-03 19:29:31 UTC,AI Downloader – A Python file downloader written by AI,https://github.com/falleng0d/ai-downloader,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
jiayuanzhang,33852572,38,2022-12-04 11:16:57 UTC,"Show HN: GPTLang, a New Programming Language Implemented by ChatGPT",https://github.com/forrestchang/gptlang,185,7,10,101,16,4,7,0,0,7,0,0,0,0,0,0,0,0,6,2,1,3,1,2,1,0,0,1,0,0
wonderfuly,33853773,431,2022-12-04 14:01:45 UTC,Show HN: Chrome extension to display ChatGPT response besides Google Search,https://github.com/wong2/chat-gpt-google-extension,6818,1212,0,0,0,0,118,28,0,0,0,0,79,20,0,0,0,0,418,149,0,0,0,0,22,9,0,0,0,0
nudpiedo,33854638,231,2022-12-04 15:43:09 UTC,Show HN: Whole Git repo was made with ChatGPT,https://github.com/vrescobar/chatGPT-python-elm,99,3,1,0,5,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
peterdemin,33855085,4,2022-12-04 16:32:12 UTC,Show HN: Command-Line Interface to ChatGPT,https://github.com/peterdemin/openai-cli,21,16,12,21,13,8,15,0,4,0,0,0,2,1,2,0,0,0,3,3,3,4,5,1,2,1,2,0,0,0
crap,33857707,2,2022-12-04 20:47:17 UTC,Show HN: Query ChatGPT in Neovim,https://github.com/terror/chatgpt.nvim,151,29,27,29,6,10,22,1,0,0,6,0,9,2,0,0,2,0,2,6,2,1,1,1,1,2,0,0,2,0
pajop,33858472,1,2022-12-04 22:07:03 UTC,Chrome Extension That Integrates ChatGPT (Unofficial) into Google Search,https://github.com/ZohaibAhmed/ChatGPT-Google,371,39,23,14,6,5,1,0,0,0,0,0,0,0,0,0,0,0,31,4,5,2,3,3,1,0,0,0,0,0
romanhotsiy,33858486,4,2022-12-04 22:08:47 UTC,Show HN: Automatically generate commit messages using ChatGPT,https://github.com/RomanHotsiy/commitgpt,671,103,124,165,69,54,6,1,0,0,0,2,6,2,2,1,1,3,15,3,6,7,7,4,3,2,2,1,1,1
transitivebs,33858745,1,2022-12-04 22:38:00 UTC,Show HN: Twitter Bot Powered by ChatGPT,https://github.com/transitive-bullshit/chatgpt-twitter-bot,246,96,67,196,26,24,101,6,27,11,2,0,9,0,1,2,0,0,21,12,7,23,9,11,1,1,1,1,1,0
domeccleston,33858907,2,2022-12-04 22:53:55 UTC,Show HN: Share permanent links to ChatGPT conversations in one click,https://github.com/domeccleston/chatgpt-extension,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pajop,33859420,2,2022-12-04 23:52:43 UTC,Repo is unofficial ChatGPT API. It is based on Daniel Gross's WhatsApp GPT,https://github.com/taranjeet/chatgpt-api,472,34,38,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,64,6,3,0,0,0,6,0,0,0,0,0
lovasoa,33860808,40,2022-12-05 02:44:04 UTC,Show HN: Controversial quiz game generated by ChatGPT,https://github.com/lovasoa/Sensitive-Topic-History-Quiz,23,1,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0
williamfzc,33862926,1,2022-12-05 08:27:10 UTC,Use ChatGPT to generate PPT automatically,https://github.com/williamfzc/chat-gpt-ppt,53,35,75,254,130,72,2,3,0,25,0,0,0,4,0,2,0,0,6,6,9,24,12,6,1,2,0,1,0,0
your_challenger,33869231,116,2022-12-05 18:05:47 UTC,Show HN: Chrome extension to summarize blogs and articles using ChatGPT,https://github.com/clmnin/summarize.site,360,48,45,46,54,34,8,0,0,6,1,4,4,0,0,3,2,0,14,7,12,5,8,6,2,0,0,2,2,1
ilikenwf,33870358,1,2022-12-05 19:13:40 UTC,YoutubeDLStreamer – A 99% AI Generated Kodi Addon,https://github.com/ilikenwf/plugin.video.youtubedlstreamer,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
olvrng,33871230,3,2022-12-05 20:14:35 UTC,Show HN: Chrome extension to have ChatGPT as a sidebar,https://github.com/iOliverNguyen/chatgpt-extension,129,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
greshake,33872062,189,2022-12-05 21:17:51 UTC,Tell HN: Giving ChatGPT access to a real terminal,https://github.com/greshake/Alice,224,38,22,18,15,15,11,0,0,0,0,0,3,0,0,0,0,0,8,6,4,1,1,2,3,0,0,0,0,0
rschiang,33873184,1,2022-12-05 23:02:55 UTC,"Show HN: Export ChatGPT chats to Markdown, JSON",https://github.com/ryanschiang/chatgpt-export,18,7,14,14,24,13,9,0,0,0,3,0,0,0,0,0,0,0,1,2,2,3,3,1,1,0,0,0,1,0
transitivebs,33873768,5,2022-12-05 23:57:10 UTC,Show HN: npm install chatgpt,https://github.com/transitive-bullshit/chatgpt-api,4104,1440,3608,2567,1166,786,303,37,118,64,25,10,207,31,74,58,24,12,443,206,512,411,194,115,79,16,34,30,11,8
moron4hire,33876698,1,2022-12-06 07:02:44 UTC,Show HN: ChatGPT prompt to create a text-adventure game,https://github.com/capnmidnight/ChatGPT-Adventure,17,5,4,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0
ggerganov,33877893,399,2022-12-06 10:46:25 UTC,Show HN: Port of OpenAI's Whisper model in C/C++,https://github.com/ggerganov/whisper.cpp,2369,1055,1652,6103,3087,1593,101,94,47,41,86,39,88,62,49,56,73,46,151,106,152,517,351,138,19,24,20,27,29,19
easonchang,33882683,1,2022-12-06 16:29:37 UTC,"Awesome ChatGPT – Curated list of ChatGPT related resource, tools, prompts, apps",https://github.com/Kamigami55/awesome-chatgpt,280,89,103,90,52,17,38,0,0,3,0,0,11,0,1,3,1,3,24,10,11,14,8,4,6,0,1,3,1,3
buildaligned,33884108,8,2022-12-06 17:46:22 UTC,Show HN: I designed a ChatGPT prompt evaluator to ruin your fun;),https://github.com/alignedai/chatgpt-prompt-evaluator,37,18,7,10,3,5,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,1,0,0,0,0,0
_pdp_,33892204,2,2022-12-07 09:00:58 UTC,Show HN: CodePal – the chat-based code assistant built on top of GPT-3 / ChatGPT,https://github.com/pdparchitect/codepal,37,1,0,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
matthieubulte,33906029,1,2022-12-08 09:27:55 UTC,Show HN: A Chrome extension that uses ChatGPT to help you write better tweets,https://github.com/matthieubulte/chat-gpt-twitter-extension,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
farheezy,33911095,37,2022-12-08 18:13:08 UTC,Show HN: A Python package to get help from ChatGPT when an exception is thrown,https://github.com/fkhan0520/cgpt_exceptions,21,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
styczynski,33913533,2,2022-12-08 21:15:42 UTC,ChatGPT is now an alternative to Redis,https://github.com/styczynski/chatdb,16,8,10,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indigodaddy,33914706,1,2022-12-08 22:35:28 UTC,"ChatGPT for Mac, living in your menubar",https://github.com/vincelwt/chatgpt-mac,2423,517,1011,830,325,132,11,0,0,0,0,0,9,2,1,0,0,0,155,45,102,74,40,9,5,1,1,0,0,0
lvwzhen,33919005,1,2022-12-09 08:31:09 UTC,Make ChatGPT Like the Matrix,https://github.com/lvwzhen/ChatGPT-Matrix-Style,55,11,1,5,4,1,6,1,0,0,0,0,0,0,0,0,1,0,7,2,0,3,0,1,1,1,0,0,1,0
shinework,33919558,1,2022-12-09 09:56:13 UTC,My side project: Photoshot an open-source AI avatar generator Next.js app,https://github.com/shinework/photoshot,1176,357,105,94,118,68,49,9,2,0,0,1,16,7,4,0,0,0,95,44,32,14,15,11,3,1,3,0,0,1
rocketdey,33920458,12,2022-12-09 12:20:46 UTC,Show HN: Open-Source AI Parser for HTML Elements,https://github.com/kagermanov27/daath-ai-parser,102,17,11,14,4,7,18,4,0,0,0,0,33,6,0,0,0,0,6,1,1,2,1,2,2,3,0,0,0,0
Major_Grooves,33922103,2,2022-12-09 15:15:21 UTC,Use ChatGPT Programmatically in Python,https://github.com/mmabrouk/chatgpt-wrapper,531,503,820,908,288,135,33,18,91,250,53,70,28,16,63,45,8,2,46,61,107,130,48,26,3,5,15,19,4,3
hyperchrome,33926587,2,2022-12-09 21:22:14 UTC,Python client for the unofficial ChatGPT API,https://github.com/rawandahmad698/PyChatGPT,2183,638,562,278,208,85,61,2,0,0,0,0,39,0,0,0,0,0,186,71,85,33,30,19,18,1,0,0,0,0
avindroth,33932840,23,2022-12-10 14:23:09 UTC,Show HN: ChatGPT in Emacs,https://github.com/joshcho/ChatGPT.el,72,46,55,104,34,9,94,1,0,3,0,0,10,0,2,2,2,0,7,1,8,5,4,1,3,1,1,2,1,0
