by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5,average_comments_sentiment,overall_comments_sentiment,dist_stars(submission-month_1),percent_stars(submission-month_1),dist_stars(month_1-month_2),percent_stars(month_1-month_2),dist_stars(month_2-month_3),percent_stars(month_2-month_3),dist_stars(month_3-month_4),percent_stars(month_3-month_4),dist_stars(month_4-month_5),percent_stars(month_4-month_5),dist_forks(submission-month_1),percent_forks(submission-month_1),dist_forks(month_1-month_2),percent_forks(month_1-month_2),dist_forks(month_2-month_3),percent_forks(month_2-month_3),dist_forks(month_3-month_4),percent_forks(month_3-month_4),dist_forks(month_4-month_5),percent_forks(month_4-month_5),dist_commits(submission-month_1),percent_commits(submission-month_1),dist_commits(month_1-month_2),percent_commits(month_1-month_2),dist_commits(month_2-month_3),percent_commits(month_2-month_3),dist_commits(month_3-month_4),percent_commits(month_3-month_4),dist_commits(month_4-month_5),percent_commits(month_4-month_5),dist_pull_requests(submission-month_1),percent_pull_requests(submission-month_1),dist_pull_requests(month_1-month_2),percent_pull_requests(month_1-month_2),dist_pull_requests(month_2-month_3),percent_pull_requests(month_2-month_3),dist_pull_requests(month_3-month_4),percent_pull_requests(month_3-month_4),dist_pull_requests(month_4-month_5),percent_pull_requests(month_4-month_5),dist_contributors(submission-month_1),percent_contributors(submission-month_1),dist_contributors(month_1-month_2),percent_contributors(month_1-month_2),dist_contributors(month_2-month_3),percent_contributors(month_2-month_3),dist_contributors(month_3-month_4),percent_contributors(month_3-month_4),dist_contributors(month_4-month_5),percent_contributors(month_4-month_5),sentiment
myth_drannon,32900797,336,2022-09-19 16:50:41 UTC,AI Seamless Texture Generator Built-In to Blender,https://github.com/carson-katri/dream-textures,565,738,2245,2758,2996,3254,104,123,208,281,303,333,54,65,94,115,124,129,33,50,130,160,183,199,3,3,6,6,2,3,0.7142857142857143,1,173,30.61946902654867,1507,204.2005420054201,513,22.85077951002228,238,8.62944162436547,258,8.611481975967948,17,51.5151515151515,80,160.0,30,23.07692307692308,23,14.375,16,8.743169398907114,19,18.269230769230774,85,69.10569105691059,73,35.09615384615387,22,7.829181494661924,30,9.900990099009904,11,20.370370370370367,29,44.61538461538461,21,22.34042553191489,9,7.826086956521735,5,4.032258064516128,0,0.0,3,100.0,0,0.0,-4,-66.66666666666667,1,50.0,Positve
blopeur,32964359,2,2022-09-24 16:48:12 UTC,Awful AI,https://github.com/daviddao/awful-ai,95,115,138,192,245,284,0,0,7,7,8,8,0,0,3,3,3,4,2,3,4,5,7,9,0,0,1,0,1,1,0.0,0,20,21.05263157894737,23,20.0,54,39.13043478260869,53,27.60416666666667,39,15.918367346938766,1,50.0,1,33.333333333333314,1,25.0,2,40.0,2,28.571428571428584,0,0.0,7,0.0,0,0.0,1,14.285714285714278,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,1,33.333333333333314,0,0.0,1,0.0,-1,-100.0,1,0.0,0,0.0,Neutral
freeqaz,33160939,3,2022-10-11 08:56:27 UTC,"Open Source AI to generate code, competitive with OpenAI Codex/GitHub Copilot",https://github.com/salesforce/CodeGen,103,453,566,732,942,1413,0,0,1,1,1,1,0,1,1,1,1,1,7,23,34,50,69,99,0,1,1,0,0,0,1.0,1,350,339.80582524271847,113,24.944812362030905,166,29.328621908127214,210,28.68852459016392,471,50.0,16,228.57142857142856,11,47.82608695652172,16,47.05882352941177,19,38.0,30,43.47826086956522,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,Positve
jmcgough,33241007,2,2022-10-17 23:36:08 UTC,AI-based playthrough of Final Fantasy X,https://github.com/coderwilson/FFX_TAS_Python,4,4,4,4,4,5,210,317,317,317,322,322,144,209,210,211,214,214,0,0,0,0,0,0,5,3,1,1,1,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,107,50.95238095238096,0,0.0,0,0.0,5,1.5772870662460434,0,0.0,65,45.138888888888886,1,0.4784688995215163,1,0.4761904761904816,3,1.4218009478672968,0,0.0,-2,-40.0,-2,-66.66666666666667,0,0.0,0,0.0,-1,-100.0,Positve
thunderbong,33263748,31,2022-10-19 15:37:32 UTC,Text generator: an Obsidian plugin that generates text using GPT-3 (OpenAI),https://github.com/nhaouari/obsidian-textgenerator-plugin,81,172,242,297,512,601,13,32,32,32,55,77,0,2,4,4,8,15,5,10,18,23,41,53,1,2,1,0,2,4,0.25,0,91,112.3456790123457,70,40.69767441860466,55,22.727272727272734,215,72.39057239057237,89,17.3828125,5,100.0,8,80.0,5,27.77777777777777,18,78.26086956521738,12,29.26829268292684,19,146.15384615384616,0,0.0,0,0.0,23,71.875,22,40.0,2,0.0,2,100.0,0,0.0,4,100.0,7,87.5,1,100.0,-1,-50.0,-1,-100.0,2,0.0,2,100.0,Neutral
rahimnathwani,33278785,79,2022-10-20 18:33:25 UTC,Buzz: Transcribe audio from your microphones in real-time using OpenAI's Whisper,https://github.com/chidiwilliams/buzz,664,1135,1456,2117,3582,4799,121,308,557,564,590,703,51,138,197,203,217,249,35,61,88,131,246,333,2,3,3,2,2,4,0.6,1,471,70.93373493975903,321,28.28193832599121,661,45.39835164835165,1465,69.20170051960321,1217,33.975432719151314,26,74.28571428571428,27,44.26229508196721,43,48.863636363636346,115,87.78625954198475,87,35.365853658536594,187,154.54545454545453,249,80.84415584415586,7,1.256732495511656,26,4.60992907801419,113,19.15254237288136,87,170.58823529411768,59,42.75362318840578,6,3.045685279187822,14,6.896551724137922,32,14.74654377880185,1,50.0,0,0.0,-1,-33.33333333333334,0,0.0,2,100.0,Positve
carefree0910,33393881,200,2022-10-30 12:32:34 UTC,Show HN: AI magics meet Infinite draw board,https://github.com/carefree0910/carefree-creator,646,690,740,798,850,887,26,47,58,64,71,86,0,0,0,0,0,2,32,38,44,51,59,66,1,1,1,1,1,2,0.4615384615384615,0,44,6.8111455108359,50,7.246376811594217,58,7.837837837837853,52,6.516290726817047,37,4.35294117647058,6,18.75,6,15.789473684210536,7,15.90909090909092,8,15.686274509803935,7,11.86440677966101,21,80.76923076923077,11,23.40425531914893,6,10.34482758620689,7,10.9375,15,21.126760563380277,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,Neutral
medv,33703274,48,2022-11-22 08:09:30 UTC,Show HN: Llama – Terminal File Manager,https://github.com/antonmedv/llama,85,121,285,331,359,382,4,7,8,8,10,10,9,11,16,17,20,20,7,9,13,16,20,21,6,4,5,1,4,0,0.6666666666666666,1,36,42.35294117647058,164,135.53719008264463,46,16.140350877192986,28,8.459214501510573,23,6.406685236768794,2,28.571428571428584,4,44.44444444444443,3,23.07692307692308,4,25.0,1,5.0,3,75.0,1,14.285714285714278,0,0.0,2,25.0,0,0.0,2,22.22222222222223,5,45.45454545454547,1,6.25,3,17.64705882352942,0,0.0,-2,-33.33333333333334,1,25.0,-4,-80.0,3,300.0,-4,-100.0,Positve
videlov,33743362,2,2022-11-25 15:42:00 UTC,"Show HN: Suspicious – Catching bugs in code with AI, fully local CLI app",https://github.com/sturdy-dev/suspicious,5,7,8,10,10,10,0,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1.0,1,2,40.0,1,14.285714285714278,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,Positve
golergka,33818306,7,2022-12-01 16:16:30 UTC,Show HN: Solving Advent of Code with ChatGPT,https://github.com/golergka/advent-of-code-2022-with-chat-gpt,35,35,35,35,35,36,5,5,5,5,5,5,2,2,2,2,2,2,7,7,7,8,8,8,2,0,0,0,0,0,-1.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,2.857142857142847,0,0.0,0,0.0,1,14.285714285714278,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Negative
_pdp_,33828293,7,2022-12-02 08:55:08 UTC,Show HN: I made a Google Chrome extension automatically with ChatGPT,https://github.com/pdparchitect/ChatGPT-Assistant,145,151,159,166,170,171,1,1,1,1,1,1,0,0,0,0,0,0,10,10,10,11,12,12,1,0,0,0,0,0,1.0,1,6,4.137931034482762,8,5.298013245033118,7,4.40251572327044,4,2.409638554216869,1,0.5882352941176521,0,0.0,0,0.0,1,10.000000000000014,1,9.09090909090908,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
falleng0d,33846456,45,2022-12-03 19:29:31 UTC,AI Downloader – A Python file downloader written by AI,https://github.com/falleng0d/ai-downloader,24,24,24,24,24,24,4,4,4,4,4,4,0,0,0,0,0,0,1,2,2,2,2,2,1,0,0,0,0,0,0.25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
jiayuanzhang,33852572,38,2022-12-04 11:16:57 UTC,"Show HN: GPTLang, a New Programming Language Implemented by ChatGPT",https://github.com/forrestchang/gptlang,185,192,202,303,319,323,7,7,7,14,14,14,0,0,0,0,0,0,6,8,9,12,13,15,1,0,0,1,0,0,0.0,0,7,3.7837837837837895,10,5.208333333333329,101,50.0,16,5.2805280528052805,4,1.2539184952978104,2,33.333333333333314,1,12.5,3,33.333333333333314,1,8.333333333333329,2,15.384615384615373,0,0.0,0,0.0,7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,1,0.0,-1,-100.0,0,0.0,Neutral
wonderfuly,33853773,431,2022-12-04 14:01:45 UTC,Show HN: Chrome extension to display ChatGPT response besides Google Search,https://github.com/wong2/chat-gpt-google-extension,6818,8030,8030,8030,8030,8030,118,146,146,146,146,146,79,99,99,99,99,99,418,567,567,567,567,567,22,9,0,0,0,0,0.3142857142857143,0,1212,17.776474039307715,0,0.0,0,0.0,0,0.0,0,0.0,149,35.64593301435406,0,0.0,0,0.0,0,0.0,0,0.0,28,23.728813559322035,0,0.0,0,0.0,0,0.0,0,0.0,20,25.31645569620254,0,0.0,0,0.0,0,0.0,0,0.0,-13,-59.090909090909086,-9,-100.0,0,0.0,0,0.0,0,0.0,Neutral
nudpiedo,33854638,231,2022-12-04 15:43:09 UTC,Show HN: Whole Git repo was made with ChatGPT,https://github.com/vrescobar/chatGPT-python-elm,99,102,103,103,108,108,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,0,0,0,0,0,0.0465116279069767,0,3,3.030303030303031,1,0.9803921568627344,0,0.0,5,4.854368932038838,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-3,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
peterdemin,33855085,4,2022-12-04 16:32:12 UTC,Show HN: Command-Line Interface to ChatGPT,https://github.com/peterdemin/openai-cli,21,37,49,70,83,91,15,15,19,19,19,19,2,3,5,5,5,5,3,6,9,13,18,19,2,1,2,0,0,0,0.5,0,16,76.19047619047618,12,32.43243243243242,21,42.85714285714286,13,18.57142857142857,8,9.638554216867476,3,100.0,3,50.0,4,44.44444444444443,5,38.46153846153845,1,5.555555555555557,0,0.0,4,26.666666666666657,0,0.0,0,0.0,0,0.0,1,50.0,2,66.66666666666669,0,0.0,0,0.0,0,0.0,-1,-50.0,1,100.0,-2,-100.0,0,0.0,0,0.0,Neutral
crap,33857707,2,2022-12-04 20:47:17 UTC,Show HN: Query ChatGPT in Neovim,https://github.com/terror/chatgpt.nvim,151,180,207,236,242,252,22,23,23,23,29,29,9,11,11,11,13,13,2,8,10,11,12,13,1,2,0,0,2,0,1.0,1,29,19.20529801324504,27,14.999999999999986,29,14.009661835748789,6,2.5423728813559308,10,4.132231404958688,6,300.0,2,25.0,1,10.000000000000014,1,9.09090909090908,1,8.333333333333329,1,4.545454545454547,0,0.0,0,0.0,6,26.08695652173914,0,0.0,2,22.22222222222223,0,0.0,0,0.0,2,18.181818181818187,0,0.0,1,100.0,-2,-100.0,0,0.0,2,0.0,-2,-100.0,Positve
pajop,33858472,1,2022-12-04 22:07:03 UTC,Chrome Extension That Integrates ChatGPT (Unofficial) into Google Search,https://github.com/ZohaibAhmed/ChatGPT-Google,371,410,433,447,453,458,1,1,1,1,1,1,0,0,0,0,0,0,31,35,40,42,45,48,1,0,0,0,0,0,0.0,0,39,10.512129380053906,23,5.609756097560975,14,3.233256351039259,6,1.3422818791946298,5,1.103752759381905,4,12.90322580645163,5,14.285714285714278,2,5.0,3,7.142857142857139,3,6.666666666666671,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
romanhotsiy,33858486,4,2022-12-04 22:08:47 UTC,Show HN: Automatically generate commit messages using ChatGPT,https://github.com/RomanHotsiy/commitgpt,671,774,898,1063,1132,1186,6,7,7,7,7,9,6,8,10,11,12,15,15,18,24,31,38,42,3,2,2,1,1,1,1.0,1,103,15.35022354694486,124,16.02067183462532,165,18.37416481069043,69,6.49106302916276,54,4.770318021201405,3,20.0,6,33.333333333333314,7,29.16666666666669,7,22.58064516129032,4,10.5263157894737,1,16.66666666666667,0,0.0,0,0.0,0,0.0,2,28.571428571428584,2,33.333333333333314,2,25.0,1,10.000000000000014,1,9.09090909090908,3,25.0,-1,-33.33333333333334,0,0.0,-1,-50.0,0,0.0,0,0.0,Positve
transitivebs,33858745,1,2022-12-04 22:38:00 UTC,Show HN: Twitter Bot Powered by ChatGPT,https://github.com/transitive-bullshit/chatgpt-twitter-bot,246,342,409,605,631,655,101,107,134,145,147,147,9,9,10,12,12,12,21,33,40,63,72,83,1,1,1,1,1,0,1.0,1,96,39.02439024390242,67,19.590643274853804,196,47.92176039119804,26,4.297520661157023,24,3.803486529318548,12,57.14285714285714,7,21.212121212121215,23,57.5,9,14.285714285714278,11,15.277777777777771,6,5.940594059405953,27,25.23364485981307,11,8.208955223880594,2,1.3793103448275872,0,0.0,0,0.0,1,11.111111111111114,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,Positve
domeccleston,33858907,2,2022-12-04 22:53:55 UTC,Show HN: Share permanent links to ChatGPT conversations in one click,https://github.com/domeccleston/chatgpt-extension,2,2,2,2,2,2,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
pajop,33859420,2,2022-12-04 23:52:43 UTC,Repo is unofficial ChatGPT API. It is based on Daniel Gross's WhatsApp GPT,https://github.com/taranjeet/chatgpt-api,472,506,544,544,544,544,2,2,2,2,2,2,12,12,12,12,12,12,64,70,73,73,73,73,6,0,0,0,0,0,0.0,0,34,7.203389830508485,38,7.509881422924906,0,0.0,0,0.0,0,0.0,6,9.375,3,4.285714285714292,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-6,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
lovasoa,33860808,40,2022-12-05 02:44:04 UTC,Show HN: Controversial quiz game generated by ChatGPT,https://github.com/lovasoa/Sensitive-Topic-History-Quiz,23,24,26,26,26,26,15,15,15,15,15,15,0,0,0,0,0,0,2,2,2,2,2,3,2,0,0,0,0,0,0.1428571428571428,0,1,4.347826086956516,2,8.333333333333329,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
your_challenger,33869231,116,2022-12-05 18:05:47 UTC,Show HN: Chrome extension to summarize blogs and articles using ChatGPT,https://github.com/clmnin/summarize.site,360,408,453,499,553,587,8,8,8,14,15,19,4,4,4,7,9,9,14,21,33,38,46,52,2,0,0,2,2,1,0.3157894736842105,0,48,13.333333333333329,45,11.029411764705884,46,10.15452538631348,54,10.821643286573163,34,6.148282097649201,7,50.0,12,57.14285714285714,5,15.151515151515156,8,21.05263157894737,6,13.043478260869565,0,0.0,0,0.0,6,75.0,1,7.142857142857139,4,26.666666666666657,0,0.0,0,0.0,3,75.0,2,28.571428571428584,0,0.0,-2,-100.0,0,0.0,2,0.0,0,0.0,-1,-50.0,Neutral
ilikenwf,33870358,1,2022-12-05 19:13:40 UTC,YoutubeDLStreamer – A 99% AI Generated Kodi Addon,https://github.com/ilikenwf/plugin.video.youtubedlstreamer,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
olvrng,33871230,3,2022-12-05 20:14:35 UTC,Show HN: Chrome extension to have ChatGPT as a sidebar,https://github.com/iOliverNguyen/chatgpt-extension,129,129,129,129,129,129,6,6,6,6,6,6,2,2,2,2,2,2,9,9,9,9,9,9,2,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Positve
