repo_full_name,owner,repo_name,repo_creation_date,contributor_count,push_count,star_count,fork_count
jfadev/jfa-whatsapp-chatbot,jfadev,jfa-whatsapp-chatbot,2022-01-13 16:58:57 UTC,43,32,38,10
ykdojo/sensei,ykdojo,sensei,2022-12-28 01:38:51 UTC,57,29,54,10
TheAtticusProject/maud,TheAtticusProject,maud,2023-01-02 17:39:09 UTC,83,30,75,10
0xStabby/chatgpt-vim,0xStabby,chatgpt-vim,2023-01-06 09:41:15 UTC,63,20,52,10
gmpetrov/openai-chatgpt,gmpetrov,openai-chatgpt,2023-02-02 12:59:01 UTC,140,7,129,10
go-skynet/llama-cli,go-skynet,llama-cli,2023-03-18 22:58:03 UTC,259,79,243,10
transitive-bullshit/chatgpt-well-known-plugin-finder,transitive-bullshit,chatgpt-well-known-plugin-finder,2023-03-26 18:16:42 UTC,161,0,153,10
Liopun/leet-chatgpt-extension,Liopun,leet-chatgpt-extension,2023-03-28 01:40:09 UTC,152,40,140,10
uripeled2/llm-client-sdk,uripeled2,llm-client-sdk,2023-04-24 16:17:09 UTC,92,60,90,10
sambanova/toolbench,sambanova,toolbench,2023-05-25 23:19:11 UTC,157,6,147,10
masci/banks,masci,banks,2023-06-04 14:11:53 UTC,83,352,75,10
Futrell/ziplm,Futrell,ziplm,2023-07-14 20:38:26 UTC,261,14,255,10
Jakob-98/openai-functools,Jakob-98,openai-functools,2023-07-21 11:21:59 UTC,73,104,72,10
trzy/llava-cpp-server,trzy,llava-cpp-server,2023-10-13 22:28:14 UTC,176,12,168,10
zjohn77/lightning-mlflow-hf,zjohn77,lightning-mlflow-hf,2023-11-05 18:52:50 UTC,64,21,57,10
simonw/ospeak,simonw,ospeak,2023-11-07 03:23:31 UTC,173,14,155,10
Tanuki/tanuki.py,Tanuki,tanuki.py,2023-11-27 14:14:46 UTC,296,133,285,10
pentestmuse-ai/PentestMuse,pentestmuse-ai,PentestMuse,2023-11-28 19:07:50 UTC,105,16,101,10
andywalters47/clearmail,andywalters47,clearmail,2024-02-13 20:17:00 UTC,83,4,79,10
innovatorved/realtime-interview-copilot,innovatorved,realtime-interview-copilot,2024-02-28 19:24:33 UTC,67,20,57,10
OlympiaAI/open_router,OlympiaAI,open_router,2024-03-19 19:20:25 UTC,111,17,106,10
artificial-scientist-lab/FutureOfAIviaAI,artificial-scientist-lab,FutureOfAIviaAI,2022-09-23 13:47:08 UTC,79,77,69,11
ianb/infinite-ai-array,ianb,infinite-ai-array,2022-12-27 03:26:30 UTC,168,14,158,11
wjn1996/HugNLP,wjn1996,HugNLP,2023-02-18 03:40:22 UTC,244,122,237,11
dminGod/CallGPT,dminGod,CallGPT,2023-03-02 17:25:27 UTC,78,20,69,11
CarlQLange/chatgpt-arcana.el,CarlQLange,chatgpt-arcana.el,2023-03-02 22:49:38 UTC,93,82,82,11
ceifa/tiktoken-node,ceifa,tiktoken-node,2023-03-16 23:17:00 UTC,129,11,107,11
eumemic/gpt-legion,eumemic,gpt-legion,2023-04-10 21:00:10 UTC,155,9,151,11
themaximal1st/InfinityArcade,themaximal1st,InfinityArcade,2023-04-18 18:07:14 UTC,69,71,62,11
cozodb/openai-multi-client,cozodb,openai-multi-client,2023-05-01 13:47:22 UTC,116,5,101,11
vtuber-plan/langport,vtuber-plan,langport,2023-05-10 14:22:15 UTC,106,197,97,11
yaph/chatgpt-export,yaph,chatgpt-export,2023-06-06 14:04:52 UTC,70,12,59,11
jawerty/10x-React-Engineer,jawerty,10x-React-Engineer,2023-08-15 06:10:48 UTC,104,13,99,11
BeastByteAI/agent_dingo,BeastByteAI,agent_dingo,2023-08-21 13:35:24 UTC,78,15,66,11
samuelcolvin/aicli,samuelcolvin,aicli,2023-09-14 10:03:49 UTC,126,21,121,11
higgsfield-ai/higgsfield,higgsfield-ai,higgsfield,2023-10-18 22:13:18 UTC,267,31,257,11
TheWiselyBearded/AI_NPC,TheWiselyBearded,AI_NPC,2023-11-06 03:19:39 UTC,59,6,56,11
stevekrenzel/pick-ems,stevekrenzel,pick-ems,2024-01-16 03:58:25 UTC,83,13,75,11
Mihaiii/llm_steer,Mihaiii,llm_steer,2024-01-24 13:03:42 UTC,222,12,217,11
babycommando/machinascript-for-robots,babycommando,machinascript-for-robots,2024-02-01 16:14:29 UTC,173,43,163,11
bananaml/fructose,bananaml,fructose,2024-02-03 00:19:21 UTC,701,116,693,11
adalkiran/llama-nuts-and-bolts,adalkiran,llama-nuts-and-bolts,2024-03-12 09:59:08 UTC,261,35,256,11
raghavc/LLM-RLHF-Tuning-with-PPO-and-DPO,raghavc,LLM-RLHF-Tuning-with-PPO-and-DPO,2024-03-18 18:39:21 UTC,149,2,142,11
npi-ai/npi,npi-ai,npi,2024-04-20 08:39:56 UTC,202,709,196,11
Strryke/betafish,Strryke,betafish,2022-08-05 13:05:55 UTC,110,25,98,12
pdparchitect/ChatGPT-Assistant,pdparchitect,ChatGPT-Assistant,2022-12-02 08:50:56 UTC,191,1,175,12
alignedai/chatgpt-prompt-evaluator,alignedai,chatgpt-prompt-evaluator,2022-12-06 18:03:20 UTC,116,1,106,12
retrage/gpt-macro,retrage,gpt-macro,2023-03-11 11:55:39 UTC,616,25,611,12
Databingo/aih,Databingo,aih,2023-03-22 15:17:21 UTC,176,622,172,12
SKaplanOfficial/Raycast-PromptLab,SKaplanOfficial,Raycast-PromptLab,2023-04-14 16:29:34 UTC,259,137,234,12
sahbic/profile-gpt,sahbic,profile-gpt,2023-04-16 17:39:45 UTC,179,10,166,12
1rgs/clarity-reader,1rgs,clarity-reader,2023-04-18 04:03:50 UTC,259,29,252,12
railsjazz/ask_chatgpt,railsjazz,ask_chatgpt,2023-04-22 14:44:42 UTC,258,44,246,12
Sets88/sets88_telegram_bot,Sets88,sets88_telegram_bot,2023-04-25 17:15:39 UTC,102,52,95,12
AdmTal/crowdcast,AdmTal,crowdcast,2023-05-12 04:02:50 UTC,109,19,108,12
kesor/chatgpt-code-plugin,kesor,chatgpt-code-plugin,2023-05-27 13:11:53 UTC,240,32,230,12
golivecosmos/llm-react-node-app-template,golivecosmos,llm-react-node-app-template,2023-05-28 15:37:51 UTC,83,31,73,12
thinkst/zippy,thinkst,zippy,2023-06-09 10:40:33 UTC,226,49,210,12
abhinav-upadhyay/chatgpt_plugins,abhinav-upadhyay,chatgpt_plugins,2023-06-15 18:57:12 UTC,55,11,44,12
clemlesne/private-gpt,clemlesne,private-gpt,2023-06-27 14:16:33 UTC,74,426,62,12
TextGeneratorio/text-generator.io,TextGeneratorio,text-generator.io,2023-06-29 00:02:20 UTC,37,69,31,12
ZJU-ACES-ISE/chatunitest-maven-plugin,ZJU-ACES-ISE,chatunitest-maven-plugin,2023-06-29 13:03:25 UTC,74,282,59,12
adammpkins/llama-terminal-completion,adammpkins,llama-terminal-completion,2023-08-17 05:41:09 UTC,196,28,186,12
clairefro/obsidian-chat-cbt-plugin,clairefro,obsidian-chat-cbt-plugin,2023-10-15 23:52:20 UTC,179,93,165,12
monkeypatch/monkeypatch.py,monkeypatch,monkeypatch.py,2023-11-11 03:55:54 UTC,323,62,311,12
gavi/mlx-whatsapp,gavi,mlx-whatsapp,2024-01-06 19:38:44 UTC,165,6,157,12
clemlesne/claim-ai-phone-bot,clemlesne,claim-ai-phone-bot,2024-01-10 13:44:32 UTC,70,559,60,12
HeyPuter/terminal,HeyPuter,terminal,2024-02-13 01:43:45 UTC,127,9,110,12
farouqaldori/aiformat,farouqaldori,aiformat,2024-03-12 01:27:58 UTC,201,9,196,12
Hellisotherpeople/Constrained-Text-Generation-Studio,Hellisotherpeople,Constrained-Text-Generation-Studio,2022-10-06 19:11:48 UTC,196,12,189,13
themis-ai/capsa,themis-ai,capsa,2022-12-09 04:48:43 UTC,130,123,130,13
deskbtm/nitmgpt,deskbtm,nitmgpt,2023-03-03 13:53:16 UTC,102,32,97,13
aicombinator/bot,aicombinator,bot,2023-03-30 04:35:50 UTC,168,7,157,13
abhiprojectz/SingularGPT,abhiprojectz,SingularGPT,2023-04-06 03:26:31 UTC,186,37,181,13
lgrammel/gptagent.js,lgrammel,gptagent.js,2023-04-06 09:14:47 UTC,96,82,87,13
glowbom/glowby,glowbom,glowby,2023-04-07 20:07:18 UTC,156,562,150,13
typpo/promptfoo,typpo,promptfoo,2023-05-03 20:17:19 UTC,266,186,253,13
menloparklab/cohere-weaviate-wikipedia-retrieval,menloparklab,cohere-weaviate-wikipedia-retrieval,2023-05-10 18:22:39 UTC,100,2,91,13
csunny/DB-GPT-Hub,csunny,DB-GPT-Hub,2023-06-02 03:58:08 UTC,139,20,128,13
XD2Sketch/react-chat-stream,XD2Sketch,react-chat-stream,2023-07-13 11:30:51 UTC,77,41,63,13
yuvraj108c/4k-video-upscaler-colab,yuvraj108c,4k-video-upscaler-colab,2023-09-21 10:39:58 UTC,163,12,149,13
LibreTranslate/Locomotive,LibreTranslate,Locomotive,2023-09-21 18:19:59 UTC,65,110,49,13
dssjon/biblos,dssjon,biblos,2023-10-27 16:45:54 UTC,209,48,204,13
simonw/llm-mistral,simonw,llm-mistral,2023-12-15 03:31:01 UTC,168,46,156,13
justinchiu/openlogprobs,justinchiu,openlogprobs,2023-12-18 17:29:09 UTC,230,6,221,13
granawkins/mailogy,granawkins,mailogy,2024-01-14 11:01:19 UTC,90,15,78,13
intelligentnode/Intelli,intelligentnode,Intelli,2024-02-07 02:07:54 UTC,59,188,43,13
video-db/PromptClip,video-db,PromptClip,2024-02-20 07:46:00 UTC,136,21,121,13
missingstudio/gateway,missingstudio,gateway,2024-03-16 04:39:08 UTC,100,38,85,13
lvwzhen/ChatGPT-Matrix-Style,lvwzhen,ChatGPT-Matrix-Style,2022-12-09 06:55:39 UTC,95,7,83,14
simpleapples/chatgpt-translator,simpleapples,chatgpt-translator,2023-03-07 00:16:57 UTC,165,17,148,14
yoavanaki/chatgpt-plugins,yoavanaki,chatgpt-plugins,2023-03-25 17:51:03 UTC,257,4,242,14
minosvasilias/godot-copilot,minosvasilias,godot-copilot,2023-03-29 23:17:45 UTC,253,13,238,14
Giskard-AI/awesome-ai-safety,Giskard-AI,awesome-ai-safety,2023-04-19 13:09:20 UTC,172,20,163,14
trevorpogue/algebraic-nnhw,trevorpogue,algebraic-nnhw,2023-04-25 23:04:00 UTC,254,21,243,14
replicate/cog-mpt-7b-storywriter-65k,replicate,cog-mpt-7b-storywriter-65k,2023-05-10 18:36:49 UTC,72,3,58,14
vendi-ai/declarai,vendi-ai,declarai,2023-07-24 08:03:08 UTC,83,322,77,14
proxoar/talk,proxoar,talk,2023-08-13 11:49:20 UTC,132,326,123,14
Ads-cmu/WhatsApp-Llama,Ads-cmu,WhatsApp-Llama,2023-09-08 16:38:52 UTC,326,11,320,14
dspinellis/ai-cli-lib,dspinellis,ai-cli-lib,2023-09-14 09:34:39 UTC,148,47,141,14
simulatrex/simulatrex,simulatrex,simulatrex,2023-10-12 02:37:21 UTC,163,52,164,14
IST-DASLab/QUIK,IST-DASLab,QUIK,2023-11-06 10:34:02 UTC,186,3,171,14
pplonski/mail4gpt,pplonski,mail4gpt,2023-11-20 12:13:22 UTC,83,17,74,14
latiotech/LAST,latiotech,LAST,2023-12-03 22:52:31 UTC,156,65,146,14
valine/NeuralFlow,valine,NeuralFlow,2024-02-13 05:04:38 UTC,325,11,316,14
tigrisdata-community/multi-modal-starter-kit,tigrisdata-community,multi-modal-starter-kit,2024-02-22 19:14:50 UTC,130,117,117,14
dorjeduck/llm.mojo,dorjeduck,llm.mojo,2024-04-08 22:33:34 UTC,339,116,333,14
kaarthik108/di1,kaarthik108,di1,2024-04-14 10:48:33 UTC,53,11,45,14
terror/chatgpt.nvim,terror,chatgpt.nvim,2022-12-04 18:59:23 UTC,290,23,269,15
quickpose/quickpose-ios-sdk,quickpose,quickpose-ios-sdk,2023-01-18 11:29:28 UTC,261,104,250,15
joone/loz,joone,loz,2023-02-27 04:33:41 UTC,271,223,252,15
rareranger/chatgpt-linux-assistant,rareranger,chatgpt-linux-assistant,2023-03-08 08:43:07 UTC,301,11,286,15
Quilljou/transmart,Quilljou,transmart,2023-03-12 10:55:33 UTC,143,44,134,15
alexrozanski/llama.swift,alexrozanski,llama.swift,2023-03-14 10:54:28 UTC,183,76,169,15
breadchris/chatgpt-plugin-examples,breadchris,chatgpt-plugin-examples,2023-03-24 22:17:42 UTC,57,3,45,15
radi-cho/botbots,radi-cho,botbots,2023-03-28 13:30:28 UTC,166,8,153,15
Pan-ML/panml,Pan-ML,panml,2023-05-11 06:06:54 UTC,124,192,113,15
Portkey-AI/Rubeus,Portkey-AI,Rubeus,2023-05-21 12:34:14 UTC,124,153,122,15
AtomEcho/AtomGPT,AtomEcho,AtomGPT,2023-05-25 04:22:04 UTC,195,77,186,15
jakecyr/openai-function-calling,jakecyr,openai-function-calling,2023-06-24 18:12:52 UTC,82,67,74,15
dave1010/pandora,dave1010,pandora,2023-06-30 20:57:15 UTC,126,12,112,15
Aggregate-Intellect/sherpa,Aggregate-Intellect,sherpa,2023-08-19 11:36:04 UTC,65,293,32,15
ariya/pico-jarvis,ariya,pico-jarvis,2023-10-05 05:13:34 UTC,68,59,61,15
bidah/react-native-vercel-ai,bidah,react-native-vercel-ai,2023-10-17 19:32:40 UTC,263,20,250,15
formkiq/formkiq-core,formkiq,formkiq-core,2020-11-21 06:04:35 UTC,142,2042,136,16
cair/tmu,cair,tmu,2021-11-28 08:32:42 UTC,147,1660,148,16
forrestchang/gptlang,forrestchang,gptlang,2022-12-04 10:50:38 UTC,338,14,333,16
idilsulo/ChatGPTify,idilsulo,ChatGPTify,2023-03-21 01:42:52 UTC,204,18,191,16
casualwriter/vanilla-chatgpt,casualwriter,vanilla-chatgpt,2023-03-27 01:27:32 UTC,64,21,52,16
whoiskatrin/npm-copilot,whoiskatrin,npm-copilot,2023-04-04 23:36:21 UTC,368,36,355,16
dzhng/zod-gpt,dzhng,zod-gpt,2023-06-26 07:11:41 UTC,595,59,584,16
myscale/ChatData,myscale,ChatData,2023-06-28 12:40:40 UTC,166,77,152,16
RCGAI/SimplyRetrieve,RCGAI,SimplyRetrieve,2023-08-04 04:22:21 UTC,202,121,190,16
meistrari/cursive-py,meistrari,cursive-py,2023-08-10 14:29:00 UTC,169,27,160,16
scrippt-tech/orca,scrippt-tech,orca,2023-09-18 02:34:20 UTC,251,116,248,16
epolewski/EricLLM,epolewski,EricLLM,2023-12-26 19:05:30 UTC,176,30,167,16
gsilvamartin/dotnet-gemini-sdk,gsilvamartin,dotnet-gemini-sdk,2024-02-17 21:55:44 UTC,82,63,59,16
Jonathan-Adly/AgentRun,Jonathan-Adly,AgentRun,2024-04-14 00:39:58 UTC,203,0,189,16
Oxen-AI/oxen-release,Oxen-AI,oxen-release,2022-08-01 21:57:26 UTC,905,441,933,17
kagermanov27/daath-ai-parser,kagermanov27,daath-ai-parser,2022-12-08 02:39:11 UTC,222,22,209,17
mihiraggarwal/select-gpt,mihiraggarwal,select-gpt,2023-01-06 17:35:01 UTC,110,0,96,17
rikhuijzer/ata,rikhuijzer,ata,2023-01-27 19:38:36 UTC,300,128,277,17
pengbaolin/LLM-Augmenter,pengbaolin,LLM-Augmenter,2023-02-27 08:08:29 UTC,460,0,435,17
second-state/chat-with-chatgpt,second-state,chat-with-chatgpt,2023-03-02 10:58:40 UTC,256,23,105,17
r2d4/openlm,r2d4,openlm,2023-05-08 23:33:35 UTC,362,4,350,17
voxel51/voxelgpt,voxel51,voxelgpt,2023-06-07 15:01:44 UTC,253,50,234,17
alantech/marsha,alantech,marsha,2023-07-10 19:02:42 UTC,466,124,453,17
e2b-dev/agent-protocol,e2b-dev,agent-protocol,2023-07-22 21:39:21 UTC,204,152,184,17
jstrieb/paperify,jstrieb,paperify,2023-09-05 02:36:13 UTC,371,6,360,17
jamesmurdza/gitwit-agent,jamesmurdza,gitwit-agent,2023-09-20 02:22:08 UTC,305,11,296,17
davideuler/awesome-assistant-api,davideuler,awesome-assistant-api,2023-11-10 08:24:24 UTC,213,9,199,17
kakaobrain/honeybee,kakaobrain,honeybee,2023-12-06 14:48:42 UTC,418,15,394,17
theodo-group/GenossGPT,theodo-group,GenossGPT,2023-12-11 12:39:20 UTC,101,1,90,17
Anil-matcha/Top-GPTs,Anil-matcha,Top-GPTs,2024-01-23 13:49:26 UTC,278,4,263,17
Deeptechia/geppetto,Deeptechia,geppetto,2024-01-24 19:51:17 UTC,188,407,177,17
AviSoori1x/seemore,AviSoori1x,seemore,2024-04-17 21:31:28 UTC,197,47,189,17
GigaxGames/gigax,GigaxGames,gigax,2024-04-29 13:53:57 UTC,277,29,274,17
louis030195/obsidian-ava,louis030195,obsidian-ava,2022-07-24 14:54:40 UTC,591,321,548,18
Cranot/chatbot-injections-exploits,Cranot,chatbot-injections-exploits,2023-02-21 08:49:17 UTC,362,19,346,18
AineeJames/ChatGPTerminator,AineeJames,ChatGPTerminator,2023-03-13 20:14:50 UTC,251,179,238,18
awa-ai/awadb,awa-ai,awadb,2023-05-19 16:22:03 UTC,172,83,176,18
jakowenko/phrame,jakowenko,phrame,2023-05-26 03:57:58 UTC,136,21,128,18
opencopilotdev/opencopilot,opencopilotdev,opencopilot,2023-08-15 10:53:11 UTC,431,476,431,18
lve-org/lve,lve-org,lve,2023-10-13 09:23:01 UTC,111,283,101,18
rentruewang/bocoel,rentruewang,bocoel,2024-02-08 15:03:24 UTC,268,148,261,18
Brandon-c-tech/PDFs-AI-rename,Brandon-c-tech,PDFs-AI-rename,2024-03-07 06:07:41 UTC,193,5,179,18
ryanschiang/claude-export,ryanschiang,claude-export,2024-03-19 17:53:42 UTC,104,23,98,18
dod-advana/gamechanger,dod-advana,gamechanger,2021-04-21 18:02:48 UTC,87,78,64,19
argosopentech/argos-train,argosopentech,argos-train,2021-10-21 01:47:41 UTC,132,198,96,19
stephansturges/OpenLander,stephansturges,OpenLander,2022-06-08 21:01:09 UTC,149,57,143,19
Exafunction/codeium-chrome,Exafunction,codeium-chrome,2023-04-19 10:49:58 UTC,156,50,120,19
iansinnott/prompta,iansinnott,prompta,2023-04-23 09:33:37 UTC,185,120,161,19
Troyanovsky/AI-Professional-Prompts,Troyanovsky,AI-Professional-Prompts,2023-05-09 04:31:46 UTC,121,40,107,19
jmaczan/gdansk-ai,jmaczan,gdansk-ai,2023-08-04 19:06:10 UTC,211,18,196,19
dokulabs/doku,dokulabs,doku,2023-11-28 06:17:07 UTC,61,550,52,19
HazyResearch/aisys-building-blocks,HazyResearch,aisys-building-blocks,2023-12-03 00:52:58 UTC,449,54,438,19
IBM/AI-Descartes,IBM,AI-Descartes,2022-04-21 14:30:35 UTC,120,26,104,20
foorilla/allainews_sources,foorilla,allainews_sources,2022-11-23 07:57:06 UTC,140,15,126,20
poozlehq/engine,poozlehq,engine,2023-02-07 07:58:45 UTC,259,328,252,20
InsuranceToolkits/promptflow,InsuranceToolkits,promptflow,2023-05-05 14:39:11 UTC,281,441,263,20
jennyzzt/awesome-open-ended,jennyzzt,awesome-open-ended,2023-06-13 21:45:39 UTC,207,29,200,20
google-research/retvec,google-research,retvec,2023-07-12 18:09:54 UTC,270,36,247,20
TengHu/ActionWeaver,TengHu,ActionWeaver,2023-08-21 03:40:47 UTC,326,214,332,20
btahir/ai-gifs,btahir,ai-gifs,2023-10-11 03:34:14 UTC,101,43,84,20
aseichter2007/ClipboardConqueror,aseichter2007,ClipboardConqueror,2023-11-22 04:15:25 UTC,360,207,352,20
Puchaczov/Musoq,Puchaczov,Musoq,2018-01-29 18:55:09 UTC,469,641,458,21
ryanschiang/chatgpt-export,ryanschiang,chatgpt-export,2022-12-05 22:07:12 UTC,164,22,148,21
carolynz/poetry-camera-rpi,carolynz,poetry-camera-rpi,2023-02-01 00:01:37 UTC,220,141,216,21
non-ai-licenses/non-ai-licenses,non-ai-licenses,non-ai-licenses,2023-03-31 15:59:41 UTC,328,26,313,21
vaibkumr/prompt-optimizer,vaibkumr,prompt-optimizer,2023-05-19 04:15:32 UTC,260,16,247,21
theonlyfoxy/CommanderGPT,theonlyfoxy,CommanderGPT,2023-05-21 21:18:21 UTC,130,6,118,21
Bavest/fin-llama,Bavest,fin-llama,2023-06-06 14:44:19 UTC,127,1,111,21
operand/agency,operand,agency,2023-06-14 14:48:37 UTC,376,907,353,21
XD2Sketch/gpt-react-designer,XD2Sketch,gpt-react-designer,2023-07-18 11:53:58 UTC,156,15,146,21
e2b-dev/awesome-sdks-for-ai-agents,e2b-dev,awesome-sdks-for-ai-agents,2023-08-17 20:55:41 UTC,357,44,339,21
e2b-dev/ai-developer-with-sandbox,e2b-dev,ai-developer-with-sandbox,2023-11-10 17:51:55 UTC,57,98,43,21
EinStack/glide,EinStack,glide,2024-01-06 20:27:24 UTC,149,522,132,21
second-state/LlamaEdge,second-state,LlamaEdge,2024-01-07 07:23:04 UTC,216,146,187,21
boldare/openai-assistant,boldare,openai-assistant,2024-03-15 14:58:48 UTC,97,71,87,21
gptlint/gptlint,gptlint,gptlint,2024-04-26 05:13:47 UTC,253,25,247,21
manyoso/haltt4llm,manyoso,haltt4llm,2023-03-29 22:40:29 UTC,227,13,208,22
callawaycloud/llm-apex-agents,callawaycloud,llm-apex-agents,2023-04-18 17:35:24 UTC,62,6,47,22
minosvasilias/godot-dodo,minosvasilias,godot-dodo,2023-04-23 19:57:58 UTC,524,14,507,22
NVIDIA/makani,NVIDIA,makani,2023-11-17 00:04:15 UTC,180,13,169,22
jart/emacs-copilot,jart,emacs-copilot,2023-12-31 04:28:41 UTC,748,13,727,22
semiosis/pen.el,semiosis,pen.el,2021-03-01 07:39:49 UTC,514,5647,511,23
approximatelabs/lambdaprompt,approximatelabs,lambdaprompt,2022-12-05 13:34:57 UTC,377,49,360,23
piqoni/matcha,piqoni,matcha,2022-12-10 14:43:24 UTC,478,120,471,23
di-sukharev/AI-TDD,di-sukharev,AI-TDD,2023-03-26 00:56:46 UTC,260,50,246,23
shaman-ai/agent-actors,shaman-ai,agent-actors,2023-04-23 21:18:02 UTC,269,48,252,23
belladoreai/llama-tokenizer-js,belladoreai,llama-tokenizer-js,2023-06-11 23:23:48 UTC,332,38,321,23
simonmesmith/agentflow,simonmesmith,agentflow,2023-08-02 20:57:18 UTC,290,46,271,23
hitz-zentroa/GoLLIE,hitz-zentroa,GoLLIE,2023-10-05 19:58:00 UTC,357,21,335,23
FlowTestAI/FlowTest,FlowTestAI,FlowTest,2023-11-12 06:17:59 UTC,259,386,245,23
google/JetStream,google,JetStream,2024-03-01 00:24:08 UTC,223,418,197,23
BasedHardware/Whomane,BasedHardware,Whomane,2024-03-24 22:10:53 UTC,204,1,187,23
georgian-io/LLM-Finetuning-Toolkit,georgian-io,LLM-Finetuning-Toolkit,2024-04-04 23:05:25 UTC,221,57,198,23
MiscellaneousStuff/anterion,MiscellaneousStuff,anterion,2024-04-10 03:26:39 UTC,193,18,175,23
jakiestfu/stability-ts,jakiestfu,stability-ts,2022-09-01 17:22:36 UTC,182,9,153,24
keerthanpg/talktopapers,keerthanpg,talktopapers,2023-01-15 03:21:56 UTC,235,3,219,24
AI4Finance-Foundation/ChatGPT-for-FinTech,AI4Finance-Foundation,ChatGPT-for-FinTech,2023-02-13 04:26:31 UTC,163,85,145,24
JohnSnowLabs/nlptest,JohnSnowLabs,nlptest,2023-03-20 21:32:31 UTC,203,1318,196,24
pythops/tenere,pythops,tenere,2023-04-16 12:57:37 UTC,470,99,456,24
mljar/plotai,mljar,plotai,2023-08-25 10:35:04 UTC,334,25,313,24
stellar-amenities/assistants,stellar-amenities,assistants,2023-11-25 02:48:48 UTC,323,285,294,24
logankilpatrick/gemini-api-quickstart,logankilpatrick,gemini-api-quickstart,2024-05-07 12:38:33 UTC,149,2,135,24
nelhage/llama,nelhage,llama,2020-11-24 05:56:36 UTC,603,158,581,25
johan-akerman/SpotifyTranscripts,johan-akerman,SpotifyTranscripts,2022-05-15 14:25:42 UTC,198,55,180,25
giuven95/chatgpt-failures,giuven95,chatgpt-failures,2023-01-02 14:44:48 UTC,594,177,578,25
tjardoo/openai-client,tjardoo,openai-client,2023-03-14 19:19:33 UTC,80,321,52,25
lllyasviel/AdverseCleaner,lllyasviel,AdverseCleaner,2023-03-19 21:45:15 UTC,303,13,284,25
Jeadie/awesome-chatgpt-plugins,Jeadie,awesome-chatgpt-plugins,2023-03-26 02:36:29 UTC,363,24,343,25
wgryc/phasellm,wgryc,phasellm,2023-04-10 23:54:22 UTC,429,268,417,25
modal-labs/doppel-bot,modal-labs,doppel-bot,2023-05-11 20:45:12 UTC,257,44,229,25
AdmTal/chat-gpt-games,AdmTal,chat-gpt-games,2023-06-01 00:35:07 UTC,301,17,284,25
e2b-dev/chatgpt-plugin,e2b-dev,chatgpt-plugin,2023-07-29 15:17:34 UTC,290,72,272,25
shroominic/funcchain,shroominic,funcchain,2023-08-31 12:28:35 UTC,330,211,313,25
C0deMunk33/bespoke_automata,C0deMunk33,bespoke_automata,2024-01-15 18:38:41 UTC,223,121,209,25
saasfly/waitlist,saasfly,waitlist,2024-04-09 14:53:21 UTC,103,0,85,25
greshake/Alice,greshake,Alice,2022-12-05 17:18:30 UTC,344,10,328,26
BrunakSanderLabs/CancerRiskNet,BrunakSanderLabs,CancerRiskNet,2023-02-21 08:28:17 UTC,83,1,57,26
unijump-ai/unijump-extension,unijump-ai,unijump-extension,2023-03-16 02:05:17 UTC,199,33,190,26
ManiMozaffar/linkedIn-scraper,ManiMozaffar,linkedIn-scraper,2023-04-13 03:24:44 UTC,250,73,233,26
fuzzland/audit_gpt,fuzzland,audit_gpt,2023-04-23 06:07:55 UTC,170,2,149,26
BobMcDear/attorch,BobMcDear,attorch,2023-07-13 00:06:16 UTC,515,149,512,26
iamarunbrahma/finetuned-qlora-falcon7b-medical,iamarunbrahma,finetuned-qlora-falcon7b-medical,2023-07-21 19:42:34 UTC,259,19,243,26
tensorchord/openmodelz,tensorchord,openmodelz,2023-08-07 08:40:18 UTC,264,48,246,26
myscale/myscaledb,myscale,myscaledb,2024-03-22 07:59:08 UTC,628,46,624,26
silva96/ai_stories,silva96,ai_stories,2023-01-13 05:44:22 UTC,109,39,93,27
analyticsinmotion/add-chatgpt-to-microsoft-word,analyticsinmotion,add-chatgpt-to-microsoft-word,2023-02-06 14:39:33 UTC,121,27,95,27
fluxninja/openai-pr-reviewer,fluxninja,openai-pr-reviewer,2023-03-12 19:29:11 UTC,206,582,177,27
fredliubojin/langchain_gradio,fredliubojin,langchain_gradio,2023-03-24 07:00:24 UTC,100,3,77,27
tensorchord/modelz-llm,tensorchord,modelz-llm,2023-05-16 02:34:19 UTC,279,55,251,27
dosco/llm-client,dosco,llm-client,2023-07-14 21:46:11 UTC,413,188,396,27
e2b-dev/llm-code-interpreter,e2b-dev,llm-code-interpreter,2023-08-31 15:39:26 UTC,204,1,183,27
widgetti/wanderlust,widgetti,wanderlust,2023-11-08 11:00:15 UTC,229,31,210,27
mhaowork/amblegpt,mhaowork,amblegpt,2023-11-19 23:20:43 UTC,152,17,123,27
linkdd/aitoolkit,linkdd,aitoolkit,2024-01-08 11:33:44 UTC,458,45,447,27
fjosue4/google-gemini-ui,fjosue4,google-gemini-ui,2024-01-24 16:05:32 UTC,80,65,56,27
jakecyr/chatgpt-voice-assistant,jakecyr,chatgpt-voice-assistant,2023-03-03 21:15:30 UTC,132,48,108,28
bigsky77/twitter-agent,bigsky77,twitter-agent,2023-04-19 13:20:25 UTC,163,160,146,28
stanfordnlp/string2string,stanfordnlp,string2string,2023-04-20 13:27:06 UTC,529,4,514,28
axilla-io/ax,axilla-io,ax,2023-07-29 18:35:01 UTC,763,241,746,28
Boburmirzo/chatgpt-api-python-sales,Boburmirzo,chatgpt-api-python-sales,2023-08-19 13:09:03 UTC,103,30,81,28
